"Date","Price","Open","High","Low","Vol.","Change %"
"03/18/2019","16,333.15","16,138.00","16,394.70","16,119.95","123.26K","1.79%"
"03/15/2019","16,046.20","16,075.70","16,219.50","15,981.95","141.82K","0.13%"
"03/14/2019","16,024.95","16,041.80","16,148.10","15,986.90","70.78K","-0.11%"
"03/13/2019","16,041.80","16,025.25","16,091.25","15,850.95","103.96K","0.32%"
"03/12/2019","15,991.15","15,891.15","16,032.75","15,870.90","106.92K","1.40%"
"03/11/2019","15,770.95","15,412.85","15,821.40","15,386.85","119.24K","2.73%"
"03/08/2019","15,352.55","15,331.50","15,390.65","15,253.10","101.80K","0.03%"
"03/07/2019","15,348.35","15,383.30","15,485.90","15,319.00","106.08K","-0.10%"
"03/06/2019","15,363.05","15,151.60","15,409.20","15,127.80","112.10K","1.68%"
"03/05/2019","15,108.60","14,834.00","15,130.15","14,793.15","101.57K","1.69%"
"03/01/2019","14,857.85","14,885.90","14,930.60","14,796.55","81.45K","0.27%"
"02/28/2019","14,818.50","14,785.45","14,873.05","14,704.90","267.18K","0.88%"
"02/27/2019","14,689.05","14,769.50","14,919.10","14,586.40","86.58K","-0.04%"
"02/26/2019","14,695.60","14,532.80","14,807.90","14,474.10","103.59K","-0.46%"
"02/25/2019","14,762.95","14,806.20","14,825.75","14,646.05","124.78K","-0.10%"
"02/22/2019","14,777.05","14,807.05","14,844.50","14,719.10","121.15K","-0.13%"
"02/21/2019","14,796.80","14,686.30","14,844.35","14,627.50","77.32K","0.80%"
"02/20/2019","14,679.15","14,515.70","14,747.90","14,477.90","93.84K","1.86%"
"02/19/2019","14,411.05","14,410.65","14,635.65","14,377.75","59.88K","-0.16%"
"02/18/2019","14,433.80","14,665.55","14,696.05","14,377.25","90.85K","-1.26%"
"02/15/2019","14,618.45","14,455.50","14,651.65","14,329.00","134.16K","1.98%"
"02/14/2019","14,335.10","14,526.40","14,530.10","14,261.30","163.89K","-1.65%"
"02/13/2019","14,576.15","14,848.90","14,899.05","14,495.85","85.42K","-1.53%"
"02/12/2019","14,802.15","14,747.20","14,943.80","14,747.05","92.88K","0.27%"
"02/11/2019","14,762.90","14,975.40","14,977.15","14,730.20","87.89K","-1.67%"
"02/08/2019","15,013.65","15,161.50","15,307.40","14,983.85","117.38K","-1.39%"
"02/07/2019","15,225.10","15,395.30","15,472.65","15,185.50","170.22K","-1.10%"
"02/06/2019","15,394.15","15,229.70","15,433.85","15,209.00","138.93K","1.28%"
"02/05/2019","15,198.95","15,214.70","15,309.30","15,131.70","57.75K","-0.11%"
"02/04/2019","15,215.35","14,934.35","15,269.55","14,891.55","63.74K","1.60%"
"02/01/2019","14,975.75","14,867.05","15,025.60","14,770.55","46.13K","1.24%"
"01/31/2019","14,792.95","14,541.45","14,816.25","14,532.65","157.58K","2.17%"
"01/30/2019","14,479.25","14,670.75","14,723.05","14,426.25","72.40K","-1.03%"
"01/29/2019","14,630.50","14,816.00","14,822.60","14,570.00","72.65K","-1.28%"
"01/28/2019","14,820.05","15,006.25","15,019.05","14,755.85","45.26K","-1.00%"
"01/25/2019","14,970.05","15,027.40","15,160.75","14,895.00","42.26K","-0.14%"
"01/24/2019","14,990.40","14,843.90","15,067.55","14,812.00","47.16K","0.95%"
"01/23/2019","14,849.80","14,949.75","15,046.60","14,813.50","45.61K","-0.67%"
"01/22/2019","14,949.85","14,937.10","15,047.70","14,844.25","55.24K","-0.09%"
"01/21/2019","14,963.85","14,686.45","15,000.15","14,633.75","60.33K","2.44%"
"01/18/2019","14,607.50","14,365.75","14,667.10","14,272.15","62.34K","2.45%"
"01/17/2019","14,257.50","14,318.95","14,366.80","14,208.65","56.35K","0.10%"
"01/16/2019","14,242.60","14,218.35","14,338.60","14,211.75","48.34K","0.56%"
"01/15/2019","14,162.60","13,975.05","14,185.60","13,948.40","57.78K","2.14%"
"01/14/2019","13,865.20","13,929.15","13,929.15","13,804.15","47.22K","-0.52%"
"01/11/2019","13,937.55","14,008.15","14,076.85","13,848.40","48.51K","-0.48%"
"01/10/2019","14,004.55","14,033.85","14,065.90","13,957.80","58.19K","-0.40%"
"01/09/2019","14,061.00","14,161.90","14,202.65","13,948.00","46.39K","-0.32%"
"01/08/2019","14,106.35","14,138.00","14,165.65","14,034.20","37.15K","-0.22%"
"01/07/2019","14,137.05","14,130.40","14,243.15","14,095.65","54.26K","0.67%"
"01/04/2019","14,043.05","13,949.50","14,073.35","13,849.45","51.21K","0.92%"
"01/03/2019","13,914.60","14,121.70","14,145.30","13,892.55","80.20K","-1.60%"
"01/02/2019","14,140.55","14,277.50","14,335.80","14,036.30","74.89K","-1.45%"
"01/01/2019","14,348.00","14,355.05","14,373.15","14,230.75","29.26K","0.09%"
"12/31/2018","14,334.85","14,411.70","14,431.60","14,279.90","45.85K","-0.24%"
"12/28/2018","14,369.80","14,314.15","14,449.65","14,282.75","70.05K","0.60%"
"12/27/2018","14,284.60","14,135.40","14,311.85","14,105.40","216.66K","1.57%"
"12/26/2018","14,063.70","13,977.30","14,104.75","13,774.45","69.85K","0.53%"
"12/24/2018","13,989.45","14,168.00","14,181.80","13,955.30","60.63K","-1.20%"
"12/21/2018","14,159.75","14,383.65","14,422.05","14,125.25","116.60K","-1.84%"
"12/20/2018","14,424.70","14,284.90","14,442.80","14,254.40","93.18K","-0.26%"
"12/19/2018","14,462.50","14,452.95","14,526.95","14,425.20","70.26K","0.53%"
"12/18/2018","14,386.20","14,244.30","14,405.60","14,208.65","79.10K","0.72%"
"12/17/2018","14,283.95","14,186.55","14,309.90","14,154.35","87.45K","1.51%"
"12/14/2018","14,072.05","13,903.25","14,090.80","13,775.50","113.93K","1.06%"
"12/13/2018","13,924.20","14,076.05","14,077.85","13,797.05","72.77K","0.08%"
"12/12/2018","13,912.90","13,744.60","13,948.45","13,680.80","83.76K","1.48%"
"12/11/2018","13,709.50","13,422.20","13,750.05","13,322.05","95.24K","0.38%"
"12/10/2018","13,657.45","13,763.45","13,822.45","13,524.35","148.60K","-2.54%"
