"Date","Price","Open","High","Low","Vol.","Change %"
"03/23/2018","3,447.55","3,454.70","3,470.85","3,409.70","120.42M","-2.90%"
"03/22/2018","3,550.40","3,547.95","3,572.35","3,518.05","86.88M","0.32%"
"03/21/2018","3,539.10","3,582.70","3,596.90","3,522.90","82.45M","-0.46%"
"03/20/2018","3,555.45","3,479.35","3,584.60","3,476.90","108.33M","-0.32%"
"03/19/2018","3,566.80","3,672.85","3,676.90","3,546.90","95.04M","-2.67%"
"03/16/2018","3,664.50","3,721.10","3,732.90","3,648.95","110.27M","-2.37%"
"03/15/2018","3,753.60","3,765.45","3,782.70","3,739.70","83.44M","-0.31%"
"03/14/2018","3,765.35","3,757.05","3,790.70","3,742.40","62.51M","-0.57%"
"03/13/2018","3,786.90","3,752.95","3,798.50","3,717.35","84.13M","0.53%"
"03/12/2018","3,766.90","3,722.85","3,775.70","3,691.20","90.20M","2.14%"
"03/09/2018","3,688.15","3,777.90","3,798.20","3,677.70","114.69M","-1.81%"
"03/08/2018","3,756.00","3,814.45","3,831.45","3,707.30","71.68M","-0.45%"
"03/07/2018","3,772.95","3,795.95","3,803.85","3,739.65","103.75M","-1.15%"
"03/06/2018","3,816.90","3,871.05","3,923.90","3,801.45","104.36M","-0.36%"
"03/05/2018","3,830.80","3,911.85","3,911.85","3,806.20","116.02M","-3.28%"
"03/01/2018","3,960.90","3,989.85","4,039.70","3,950.50","62.79M","-0.84%"
"02/28/2018","3,994.35","3,997.60","4,013.55","3,970.05","69.64M","-1.06%"
"02/27/2018","4,037.25","4,086.75","4,102.25","4,026.55","60.07M","-0.85%"
"02/26/2018","4,071.95","4,049.70","4,091.55","4,048.10","79.29M","1.07%"
"02/23/2018","4,028.80","3,920.95","4,037.10","3,915.05","95.81M","3.19%"
"02/22/2018","3,904.30","3,891.45","3,931.30","3,863.35","115.83M","-0.20%"
"02/21/2018","3,912.10","3,986.40","3,990.60","3,879.45","80.60M","-1.37%"
"02/20/2018","3,966.50","3,934.45","3,990.70","3,917.70","78.26M","1.10%"
"02/19/2018","3,923.40","4,005.05","4,011.60","3,861.10","74.44M","-1.71%"
"02/16/2018","3,991.60","4,089.25","4,097.20","3,962.25","75.37M","-1.50%"
"02/15/2018","4,052.55","4,054.10","4,113.10","4,035.45","77.37M","0.69%"
"02/14/2018","4,024.75","4,066.20","4,076.30","4,006.60","69.69M","-0.10%"
"02/12/2018","4,028.95","4,063.75","4,063.75","4,014.35","100.01M","1.07%"
"02/09/2018","3,986.40","3,852.15","4,004.50","3,844.40","117.47M","1.27%"
"02/08/2018","3,936.45","3,872.95","3,966.75","3,844.70","88.50M","1.46%"
"02/07/2018","3,879.75","3,900.80","3,954.30","3,860.20","85.56M","0.46%"
"02/06/2018","3,862.00","3,748.70","3,922.95","3,718.35","98.50M","-1.64%"
"02/05/2018","3,926.55","3,874.95","3,960.30","3,793.30","89.63M","-0.55%"
"02/02/2018","3,948.30","4,031.60","4,077.00","3,915.45","112.87M","-3.02%"
"02/01/2018","4,071.40","4,082.90","4,108.20","3,957.05","85.59M","0.14%"
"01/31/2018","4,065.85","4,117.65","4,144.80","4,043.45","103.23M","-1.22%"
"01/30/2018","4,116.25","4,130.60","4,137.80","4,091.10","59.23M","-0.59%"
"01/29/2018","4,140.85","4,154.45","4,216.65","4,122.10","73.00M","0.14%"
"01/25/2018","4,135.15","4,108.40","4,184.20","4,107.15","123.59M","0.92%"
"01/24/2018","4,097.35","4,160.40","4,160.55","4,086.50","68.99M","-1.72%"
"01/23/2018","4,169.00","4,015.25","4,218.70","4,015.25","143.73M","4.07%"
"01/22/2018","4,006.15","4,044.50","4,045.65","3,985.10","52.06M","-0.68%"
"01/19/2018","4,033.40","4,002.00","4,043.90","3,957.65","70.40M","0.86%"
"01/18/2018","3,998.85","4,133.55","4,136.50","3,965.80","100.50M","-2.89%"
"01/17/2018","4,117.65","4,079.60","4,129.20","4,005.30","81.63M","1.01%"
"01/16/2018","4,076.40","4,203.55","4,205.80","4,056.20","88.55M","-2.84%"
"01/15/2018","4,195.75","4,206.75","4,256.40","4,184.40","79.58M","0.15%"
"01/12/2018","4,189.50","4,178.90","4,210.00","4,148.30","67.97M","0.62%"
"01/11/2018","4,163.70","4,174.15","4,181.35","4,149.65","86.62M","-0.14%"
"01/10/2018","4,169.60","4,179.65","4,209.35","4,142.25","94.65M","0.07%"
"01/09/2018","4,166.60","4,197.90","4,207.60","4,155.35","99.67M","0.01%"
"01/08/2018","4,166.35","4,147.65","4,176.45","4,127.40","94.05M","0.87%"
"01/05/2018","4,130.40","4,130.95","4,181.65","4,119.70","101.02M","0.45%"
"01/04/2018","4,112.00","4,018.30","4,123.85","3,990.95","134.86M","2.79%"
"01/03/2018","4,000.20","3,965.70","4,015.45","3,964.85","91.32M","1.45%"
"01/02/2018","3,942.85","3,942.70","3,947.65","3,874.85","68.08M","0.60%"
"01/01/2018","3,919.20","3,942.65","3,980.70","3,908.80","53.98M","-0.53%"
