"Date","Price","Open","High","Low","Vol.","Change %"
"23-01-2012","3,926.79","3,926.79","3,926.79","3,926.79","","-0.05%"
"20-01-2012","3,928.81","3,928.81","3,928.81","3,928.81","","2.27%"
"19-01-2012","3,841.62","3,841.62","3,841.62","3,841.62","","2.06%"
"18-01-2012","3,763.92","3,763.92","3,763.92","3,763.92","","1.15%"
"17-01-2012","3,721.23","3,721.23","3,721.23","3,721.23","","0.00%"
"16-01-2012","3,721.23","3,721.23","3,721.23","3,721.23","","-0.31%"
"13-01-2012","3,732.96","3,732.96","3,732.96","3,732.96","","1.43%"
"12-01-2012","3,680.20","3,680.20","3,680.20","3,680.20","","0.86%"
"11-01-2012","3,648.70","3,648.70","3,648.70","3,648.70","","0.00%"
"10-01-2012","3,648.70","3,648.70","3,648.70","3,648.70","","2.84%"
"09-01-2012","3,547.91","3,547.91","3,547.91","3,547.91","","0.08%"
"07-01-2012","3,545.18","3,545.18","3,545.18","3,545.18","","-0.36%"
"06-01-2012","3,558.00","3,558.00","3,558.00","3,558.00","","0.17%"
"05-01-2012","3,552.01","3,552.01","3,552.01","3,552.01","","1.09%"
"04-01-2012","3,513.79","3,513.79","3,513.79","3,513.79","","0.52%"
"03-01-2012","3,495.58","3,495.58","3,495.58","3,495.58","","3.73%"
"02-01-2012","3,369.94","3,369.94","3,369.94","3,369.94","","0.07%"
"30-12-2011","3,367.67","3,367.67","3,367.67","3,367.67","","-0.64%"
"29-12-2011","3,389.21","3,389.21","3,389.21","3,389.21","","-1.13%"
"28-12-2011","3,428.10","3,428.10","3,428.10","3,428.10","","-1.60%"
"27-12-2011","3,483.87","3,483.87","3,483.87","3,483.87","","-0.77%"
"26-12-2011","3,510.92","3,510.92","3,510.92","3,510.92","","0.87%"
"23-12-2011","3,480.77","3,480.77","3,480.77","3,480.77","","-0.86%"
"22-12-2011","3,511.13","3,511.13","3,511.13","3,511.13","","1.95%"
"21-12-2011","3,443.84","3,443.84","3,443.84","3,443.84","","4.64%"
"20-12-2011","3,291.05","3,291.05","3,291.05","3,291.05","","-0.68%"
"19-12-2011","3,313.51","3,313.51","3,313.51","3,313.51","","-2.66%"
"16-12-2011","3,403.92","3,403.92","3,403.92","3,403.92","","-2.85%"
"15-12-2011","3,503.86","3,503.86","3,503.86","3,503.86","","-0.41%"
"14-12-2011","3,518.22","3,518.22","3,518.22","3,518.22","","-1.00%"
"13-12-2011","3,553.72","3,553.72","3,553.72","3,553.72","","0.36%"
"12-12-2011","3,541.06","3,541.06","3,541.06","3,541.06","","-2.85%"
"09-12-2011","3,645.03","3,645.03","3,645.03","3,645.03","","-1.57%"
"08-12-2011","3,703.31","3,703.31","3,703.31","3,703.31","","-2.58%"
"07-12-2011","3,801.48","3,801.48","3,801.48","3,801.48","","0.54%"
"05-12-2011","3,780.88","3,780.88","3,780.88","3,780.88","","-0.11%"
"02-12-2011","3,784.94","3,784.94","3,784.94","3,784.94","","2.96%"
"01-12-2011","3,676.08","3,676.08","3,676.08","3,676.08","","3.49%"
"30-11-2011","3,552.28","3,552.28","3,552.28","3,552.28","","-0.29%"
"29-11-2011","3,562.79","3,562.79","3,562.79","3,562.79","","-1.65%"
"28-11-2011","3,622.59","3,622.59","3,622.59","3,622.59","","4.12%"
"25-11-2011","3,479.34","3,479.34","3,479.34","3,479.34","","-0.49%"
"24-11-2011","3,496.64","3,496.64","3,496.64","3,496.64","","0.57%"
"23-11-2011","3,476.81","3,476.81","3,476.81","3,476.81","","-2.51%"
"22-11-2011","3,566.47","3,566.47","3,566.47","3,566.47","","1.12%"
"21-11-2011","3,527.10","3,527.10","3,527.10","3,527.10","","-3.30%"
"18-11-2011","3,647.63","3,647.63","3,647.63","3,647.63","","-0.35%"
"17-11-2011","3,660.46","3,660.46","3,660.46","3,660.46","","-1.56%"
"16-11-2011","3,718.36","3,718.36","3,718.36","3,718.36","","-0.51%"
"15-11-2011","3,737.60","3,737.60","3,737.60","3,737.60","","-2.06%"
"14-11-2011","3,816.15","3,816.15","3,816.15","3,816.15","","-0.15%"
"11-11-2011","3,821.75","3,821.75","3,821.75","3,821.75","","-3.06%"
